Folder,New name,Original name,Duplicates removed,Duplicate file names
XR,XR ELBOW_5.txt,ELBOW_5.txt,0,
XR,XR FEMUR.txt,FEMUR.txt,2,FEMUR_2.txt; FEMUR_4.txt
XR,XR FOOT (m).txt,FOOT (m).txt,6,FOOT_10.txt; FOOT_2.txt; FOOT_4.txt; FOOT_5.txt; FOOT_7.txt; FOOT_9.txt
XR,XR Foot_3.txt,Foot_3.txt,0,
XR,XR FOREARM.txt,FOREARM.txt,0,
XR,XR FOREARM_2.txt,FOREARM_2.txt,1,FOREARM_3.txt
XR,XR GENERAL EXTREMITY.txt,GENERAL EXTREMITY.txt,0,
XR,XR hand (m).txt,hand (m).txt,2,HAND_6.txt; hand_4.txt
XR,XR hand.txt,hand.txt,2,hand_2.txt; hand_5.txt
XR,XR Hand_3.txt,Hand_3.txt,0,
XR,XR hand_7.txt,hand_7.txt,0,
XR,XR HIP_2.txt,HIP_2.txt,0,
XR,XR HIP_3.txt,HIP_3.txt,2,HIP_10.txt; HIP_6.txt
XR,XR HIP_4.txt,HIP_4.txt,0,
XR,XR HIP_5.txt,HIP_5.txt,1,HIP_8.txt
XR,XR HUMERUS.txt,HUMERUS.txt,2,HUMERUS_2.txt; HUMERUS_3.txt
XR,XR HUMERUS_4.txt,HUMERUS_4.txt,0,
XR,XR humerus_5.txt,humerus_5.txt,0,
XR,XR KNEE(D).txt,KNEE(D).txt,2,KNEE(D)_2.txt; KNEE(D)_3.txt
XR,XR KNEE(M).txt,KNEE(M).txt,0,
XR,XR KNEE_2.txt,KNEE_2.txt,0,
XR,XR KNEE_4.txt,KNEE_4.txt,1,KNEE_6.txt
XR,XR KNEE_5.txt,KNEE_5.txt,0,
XR,XR KUB.txt,KUB.txt,1,KUB_3.txt
XR,XR LS (S) DJD.txt,LS (S) DJD.txt,0,
XR,XR LS Simon.txt,LS Simon.txt,0,
XR,XR Lumbar (m).txt,Lumbar (m).txt,0,
XR,XR Lumbar 2-3V.txt,Lumbar 2-3V.txt,0,
XR,XR Lumbar 6+ views.txt,Lumbar 6+ views.txt,0,
XR,XR Lumbar_10.txt,Lumbar_10.txt,0,
XR,XR LUMBAR_2.txt,LUMBAR_2.txt,3,LUMBAR_12.txt; LUMBAR_15.txt; LUMBAR_9.txt
XR,XR NASAL BONES.txt,NASAL BONES.txt,2,NASAL BONES_2.txt; NASAL BONES_3.txt
XR,XR NECK_3.txt,NECK_3.txt,0,
XR,XR orbits(s).txt,orbits(s).txt,0,
XR,XR Orbits_2.txt,Orbits_2.txt,3,Orbits_3.txt; Orbits_5.txt; Orbits_7.txt
XR,XR Pelvis(s).txt,Pelvis(s).txt,0,
XR,XR PELVIS.txt,PELVIS.txt,1,PELVIS_17.txt
XR,XR PELVIS_6.txt,PELVIS_6.txt,2,PELVIS_16.txt; PELVIS_18.txt
XR,XR Rib Series.txt,Rib Series.txt,2,RIB Series_2.txt; Rib Series_3.txt
XR,XR Ribs (m).txt,Ribs (m).txt,0,
XR,XR RIBS.txt,RIBS.txt,2,RIBS_3.txt; RIBS_4.txt
XR,XR RIBS_2.txt,RIBS_2.txt,0,
XR,XR SACRUM_COCCYX.txt,SACRUM_COCCYX.txt,0,
XR,XR scapula.txt,scapula.txt,0,
XR,XR Shoulder.txt,Shoulder.txt,2,Shoulder_12.txt; Shoulder_8.txt
XR,XR Shoulder_3.txt,Shoulder_3.txt,0,
XR,XR SHOULDER_4.txt,SHOULDER_4.txt,0,
XR,XR SHOULDER_5.txt,SHOULDER_5.txt,2,SHOULDER_10.txt; shoulder (m)_2.txt
XR,XR SI joints.txt,SI joints.txt,2,SI joints_2.txt; SI joints_3.txt
XR,XR sinus(s).txt,sinus(s).txt,2,sinus(s)_2.txt; sinus(s)_3.txt
XR,XR SINUS_2.txt,SINUS_2.txt,0,
XR,XR TBIFIB.txt,TBIFIB.txt,4,TBIFIB_2.txt; TBIFIB_3.txt; TBIFIB_4.txt; TBIFIB_5.txt
XR,XR thoracic (m).txt,thoracic (m).txt,1,Thoracic_12.txt
XR,XR Thoracic spine.txt,Thoracic spine.txt,5,ANKLE_3.txt; DIGIT_6.txt; FEMUR_3.txt; FOREARM_4.txt; PELVIS_8.txt
XR,XR Thoracic_10.txt,Thoracic_10.txt,0,
XR,XR Thoracic_3.txt,Thoracic_3.txt,2,Thoracic_16.txt; Thoracic_8.txt
XR,XR TIB-FIB.txt,TIB-FIB.txt,2,KUB_2.txt; WRIST_4.txt
XR,XR TIB-FIB_2.txt,TIB-FIB_2.txt,0,
XR,XR TMJ.txt,TMJ.txt,1,TMJ_3.txt
XR,XR TMJ_2.txt,TMJ_2.txt,0,
XR,XR Wrist (m).txt,Wrist (m).txt,0,
XR,XR Wrist.txt,Wrist.txt,2,Wrist_6.txt; Wrist_7.txt
